Id,have_youMentalHealthBenefits,Country,Mental_Consequences,isCompany_Technical,discuss_Family,isConsequenceSerious,Age,isSelfEmployed,have_you_PhysicalHealthConversations,isAnonymous,have_you_MentalHealthConversations,have_you_seeked_MentalHealthHelp,feel_Recovering,isPart_of_MentalHealthProgram,know_you_MentalCareOptions,isMental_asGoodas_Physical,isMentalIllness_family,discuss_Peers,iswork_disturbed,Physical_Consequences,istreatment_required,Additional_Data,isWork_Remote,Approx_Acquaintances,Gender
5,Yes,1,No,1,Yes,0,33,,Maybe,Don't know,No,Don't know,Don't know,No,Not sure,Don't know,1,Yes,Sometimes,No,0,,0,6-25,Male
494,Don't know,1,Maybe,1,No,0,25,0,No,Don't know,No,Don't know,Don't know,Don't know,Not sure,Don't know,0,Some of them,,No,0,,0,26-100,male
52,Don't know,1,Maybe,1,Some of them,0,31,0,Maybe,Don't know,Maybe,Don't know,Don't know,Don't know,No,Don't know,0,Some of them,,Maybe,0,,1,100-500,M
986,Don't know,3,Yes,1,No,1,39,0,No,Don't know,No,No,Somewhat difficult,No,Not sure,No,1,No,Rarely,Yes,0,,1,500-1000,Female
186,Don't know,3,Maybe,1,Yes,0,24,0,Yes,Don't know,Maybe,Don't know,Somewhat easy,No,No,Yes,0,Some of them,Sometimes,No,0,,0,6-25,Male
18,Yes,1,No,1,Yes,1,46,1,Yes,Yes,No,Don't know,Very easy,Yes,Not sure,Yes,1,Yes,Sometimes,No,0,,1,1-5,male
317,Yes,1,No,0,Yes,0,25,0,Maybe,Yes,Maybe,Yes,Very easy,Yes,Yes,Yes,0,Some of them,Never,No,0,,0,More than 1000,Male
511,No,1,Maybe,1,No,0,25,0,No,No,No,No,Somewhat easy,No,No,Yes,0,Some of them,Sometimes,No,0,,0,6-25,f
364,Yes,1,Maybe,1,No,0,329,0,No,Don't know,No,No,Don't know,No,Yes,No,0,Some of them,Often,No,1,,1,6-25,Male
571,Yes,1,Maybe,1,Yes,0,42,0,Maybe,Yes,Maybe,Yes,Somewhat easy,Yes,Yes,Don't know,0,Yes,Often,Maybe,1,,0,More than 1000,Make
609,No,10,Yes,1,No,0,27,0,Maybe,Don't know,No,No,Don't know,No,No,Don't know,0,No,Never,No,0,,1,1-5,Male
703,Yes,1,No,0,Yes,0,23,0,Maybe,Yes,No,No,Somewhat easy,Yes,Yes,Yes,0,Some of them,Often,No,1,,0,26-100,Male
924,Yes,1,No,1,Yes,0,33,0,Yes,Don't know,Yes,Don't know,Very easy,Don't know,No,Yes,1,Yes,,No,0,,0,500-1000,Male
461,Yes,1,Maybe,1,Yes,0,33,0,No,Don't know,No,Yes,Very easy,Yes,Not sure,Yes,0,Some of them,Never,No,0,I currently have the best managers I've ever worked with. I don't have any issues but one of my coworkers recently did and it was handled extremely well. ,0,500-1000,Female 
742,No,3,No,1,Some of them,0,39,0,Yes,Don't know,No,No,Very easy,No,No,Yes,0,No,Sometimes,No,1,,0,100-500,Male
957,Yes,7,No,1,Some of them,0,34,1,Maybe,Yes,No,Yes,Very easy,Yes,Yes,Yes,1,Yes,Rarely,No,1,Though I'm in the Netherlands and chose that country from the list quite some questions are strongly geared towards the US. Over here people don't need benefits from their employer because we pay enough taxes for the government to pay for treatment of any physical or mental condition. We don't need employer approval for medical leave; that's something a qualified medical professional decides (and while on leave we still get paid our salaries something the employer can get insurance for). I answered yes to questions about these things meaning it's covered not it's covered by my employer.,1,1-5,male
923,No,27,Yes,0,Some of them,1,42,0,Yes,Yes,No,No,Somewhat difficult,Don't know,Yes,No,0,Some of them,Sometimes,Maybe,1,,0,More than 1000,male
1160,Yes,1,Yes,1,Some of them,0,29,0,Maybe,Don't know,No,No,Don't know,No,Yes,Don't know,0,Some of them,Sometimes,No,1,,0,26-100,M
85,Don't know,1,No,1,Yes,0,31,0,Maybe,Don't know,Maybe,No,Don't know,No,Not sure,No,0,Some of them,,No,0,,0,26-100,Male
